order,category,rank,image_id,winner,display_candidate,unet_dice,sam3_dice,delta_dice_sam3_minus_unet,unet_iou,sam3_iou,delta_iou_sam3_minus_unet,quad_path
16,unet_strong_win,6,a078586ccdee_13,U-Net,no,0.9923425912857056,0.9869624401124992,-0.005380151173206338,0.9848015904426575,0.9742604610061081,-0.01054112943654939,D:\DeepLearning Workplace\Project\04-Unet\code\Pytorch-UNet\exp01_unet_final_bilinear_full5088_e5_bs1_lr1e-5_scale0.5_noamp_workers2\quad_visualizations\16_unet_strong_win_rank6_a078586ccdee_13_quad.png
17,unet_strong_win,7,f591b4f2e006_05,U-Net,no,0.9871238470077515,0.9824330760352267,-0.004690770972524794,0.9745750427246094,0.9654726906878481,-0.009102352036761241,D:\DeepLearning Workplace\Project\04-Unet\code\Pytorch-UNet\exp01_unet_final_bilinear_full5088_e5_bs1_lr1e-5_scale0.5_noamp_workers2\quad_visualizations\17_unet_strong_win_rank7_f591b4f2e006_05_quad.png
18,unet_strong_win,8,69915dab0755_03,U-Net,no,0.9940454363822937,0.9895896148977412,-0.00445582148455248,0.9881613850593567,0.9793937488059266,-0.008767636253430133,D:\DeepLearning Workplace\Project\04-Unet\code\Pytorch-UNet\exp01_unet_final_bilinear_full5088_e5_bs1_lr1e-5_scale0.5_noamp_workers2\quad_visualizations\18_unet_strong_win_rank8_69915dab0755_03_quad.png
19,unet_strong_win,9,90b65c521a8b_16,U-Net,no,0.9949073791503906,0.9906006929150908,-0.004306686235299839,0.9898663759231567,0.9813764344418783,-0.008489941481278462,D:\DeepLearning Workplace\Project\04-Unet\code\Pytorch-UNet\exp01_unet_final_bilinear_full5088_e5_bs1_lr1e-5_scale0.5_noamp_workers2\quad_visualizations\19_unet_strong_win_rank9_90b65c521a8b_16_quad.png
20,unet_strong_win,10,48b3f0c936b5_04,U-Net,no,0.9941204786300659,0.9900901582833205,-0.004030320346745442,0.9883097410202026,0.9803747992002249,-0.007934941819977781,D:\DeepLearning Workplace\Project\04-Unet\code\Pytorch-UNet\exp01_unet_final_bilinear_full5088_e5_bs1_lr1e-5_scale0.5_noamp_workers2\quad_visualizations\20_unet_strong_win_rank10_48b3f0c936b5_04_quad.png
21,near_tie,1,28d9a149cb02_11,near_tie,yes,0.9928483366966248,0.9928396722686335,-0.000008664427991300627,0.9857982397079468,0.985781156119413,-0.000017083588533806093,D:\DeepLearning Workplace\Project\04-Unet\code\Pytorch-UNet\exp01_unet_final_bilinear_full5088_e5_bs1_lr1e-5_scale0.5_noamp_workers2\quad_visualizations\21_near_tie_rank1_28d9a149cb02_11_quad.png
22,near_tie,2,344ece157efc_16,near_tie,yes,0.9883318543434143,0.9883027297177617,-0.000029124625652632297,0.9769328236579895,0.9768759477250045,-0.00005687593298497884,D:\DeepLearning Workplace\Project\04-Unet\code\Pytorch-UNet\exp01_unet_final_bilinear_full5088_e5_bs1_lr1e-5_scale0.5_noamp_workers2\quad_visualizations\22_near_tie_rank2_344ece157efc_16_quad.png
23,near_tie,3,42a3297ccd4b_10,near_tie,no,0.9946608543395996,0.9947001170707687,0.0000392627311690541,0.9893783926963806,0.9894561154950331,0.00007772279865247977,D:\DeepLearning Workplace\Project\04-Unet\code\Pytorch-UNet\exp01_unet_final_bilinear_full5088_e5_bs1_lr1e-5_scale0.5_noamp_workers2\quad_visualizations\23_near_tie_rank3_42a3297ccd4b_10_quad.png
24,near_tie,4,917f262f1608_15,near_tie,no,0.9920396208763123,0.9919969070930699,-0.00004271378324238739,0.9842050075531006,0.9841208961296927,-0.00008411142340791766,D:\DeepLearning Workplace\Project\04-Unet\code\Pytorch-UNet\exp01_unet_final_bilinear_full5088_e5_bs1_lr1e-5_scale0.5_noamp_workers2\quad_visualizations\24_near_tie_rank4_917f262f1608_15_quad.png
25,near_tie,5,85cba1a00135_04,near_tie,no,0.9955326318740845,0.9955756206327736,0.0000429887586891331,0.9911050200462341,0.991190219078486,0.00008519903225190362,D:\DeepLearning Workplace\Project\04-Unet\code\Pytorch-UNet\exp01_unet_final_bilinear_full5088_e5_bs1_lr1e-5_scale0.5_noamp_workers2\quad_visualizations\25_near_tie_rank5_85cba1a00135_04_quad.png
